,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,m2_living,m2_lot,m2_above,m2_basement,m2_living15,m2_lot15
0,221900.0,3.0,1.0,1.0,0.0,0.0,Ok,0.5384615384615384,1955,0,47.5112,-122.257,109.62467484206616,524.8978075065032,109.62467484206616,0.0,124.4890375325158,524.8978075065032
1,538000.0,3.0,2.25,2.0,0.0,0.0,Ok,0.5384615384615384,1951,1991,47.721,-122.319,238.75882571534746,672.7982162764772,201.59791898922336,37.16090672612412,157.00483091787441,709.6804162021554
2,180000.0,2.0,1.0,1.0,0.0,0.0,Ok,0.46153846153846156,1933,0,47.7379,-122.233,71.53474544778894,929.022668153103,71.53474544778894,0.0,252.69416573764403,748.9780750650316
3,604000.0,4.0,3.0,1.0,0.0,0.0,Buena,0.5384615384615384,1965,0,47.5208,-122.393,182.0884429580082,1399.9172304044362,97.54738015607582,84.54106280193237,126.34708286882201,464.5113340765515
4,510000.0,3.0,2.0,1.0,0.0,0.0,Ok,0.6153846153846154,1987,0,47.6168,-122.045,156.0758082497213,750.6503158677073,165.98595569232745,0.0,167.22408026755855,697.0457079152732
5,1225000.0,4.0,4.5,1.0,0.0,0.0,Ok,0.8461538461538461,2001,0,47.6561,-122.005,503.5302861389818,9469.528056484578,361.3898179115571,142.14046822742475,442.214790040877,9469.528056484578
6,229500.0,3.0,1.0,1.0,0.0,0.0,Ok,0.5384615384615384,1960,0,47.5123,-122.337,165.36603493125233,693.9799331103679,97.54738015607582,67.81865477517651,165.36603493125233,753.7160906726125
7,323000.0,3.0,2.5,2.0,0.0,0.0,Ok,0.5384615384615384,2003,0,47.3684,-122.031,175.58528428093646,609.4388703084355,175.58528428093646,0.0,222.03641768859163,703.270159791899
8,662500.0,3.0,2.5,1.0,0.0,0.0,Ok,0.6153846153846154,1965,0,47.6007,-122.145,330.73206986250466,910.0706057227796,172.79821627647715,157.9338535860275,205.31400966183577,829.1527313266445
9,468000.0,2.0,1.0,1.0,0.0,0.0,Buena,0.5384615384615384,1942,0,47.69,-122.292,107.76662950575995,557.4136008918618,79.89594946116685,27.87068004459309,123.5600148643627,557.4136008918618
10,310000.0,3.0,1.0,1.5,0.0,0.0,Buena,0.5384615384615384,1927,0,47.7558,-122.229,132.85024154589374,1848.8480118914902,132.85024154589374,0.0,165.36603493125233,1179.5800817539948
11,400000.0,3.0,1.75,1.0,0.0,0.0,Buena,0.5384615384615384,1977,0,47.6127,-122.045,127.27610553697511,899.2939427722036,127.27610553697511,0.0,127.27610553697511,948.3463396506876
12,530000.0,5.0,2.0,1.5,0.0,0.0,Ok,0.5384615384615384,1900,0,47.67,-122.394,168.15310293571164,450.575994054255,168.15310293571164,0.0,126.34708286882201,450.575994054255
13,650000.0,4.0,3.0,2.0,0.0,3.0,Ok,0.6923076923076923,1979,0,47.5714,-122.375,274.0616871051654,464.5113340765515,183.9464882943144,90.11519881085098,198.81085098476404,371.6090672612412
14,395000.0,3.0,2.0,2.0,0.0,0.0,Ok,0.5384615384615384,1994,0,47.7277,-121.962,175.58528428093646,1304.3478260869565,175.58528428093646,0.0,175.58528428093646,1302.3039762170197
15,485000.0,4.0,1.0,1.5,0.0,0.0,Buena,0.5384615384615384,1916,0,47.6648,-122.343,148.64362690449647,1399.9172304044362,148.64362690449647,0.0,149.5726495726496,399.4797473058343
16,189000.0,2.0,1.0,1.0,0.0,0.0,Buena,0.5384615384615384,1921,0,47.3089,-122.21,193.03606236421123,915.0873281308064,111.48272017837236,0.0,98.47640282422891,473.33704942400595
17,230000.0,3.0,1.0,1.0,0.0,0.0,Buena,0.5384615384615384,1969,0,47.3343,-122.306,116.12783351913788,908.0267558528428,165.98595569232745,0.0,118.91490152359718,822.1850613154961
18,385000.0,4.0,1.75,1.0,0.0,0.0,Buena,0.5384615384615384,1947,0,47.7025,-122.341,150.5016722408027,462.6532887402453,79.89594946116685,70.60572277963583,130.06317354143442,462.6532887402453
19,2000000.0,3.0,2.75,1.0,0.0,4.0,Ok,0.6923076923076923,1968,0,47.5316,-122.233,283.3519137866964,4168.246005202527,216.462281679673,66.88963210702342,381.82831661092536,1889.2604979561502
20,285000.0,5.0,2.5,1.0,0.0,0.0,Ok,0.6153846153846154,1995,0,47.3266,-122.169,210.88814567075437,585.2842809364549,210.88814567075437,0.0,208.10107766629508,650.7803790412487
21,252700.0,2.0,1.5,1.0,0.0,0.0,Ok,0.5384615384615384,1985,0,47.3533,-122.166,99.40542549238202,895.8565589000373,99.40542549238202,0.0,113.34076551467857,779.0784095131921
22,329000.0,3.0,2.25,2.0,0.0,0.0,Buena,0.6153846153846154,1985,0,47.3739,-122.172,227.61055369751023,603.864734299517,227.61055369751023,0.0,204.38498699368265,637.7740616871052
